address,bathrooms,bedrooms,city,description,image_urls,lot_size,price,property_type,square_feet,state,title,url,year_built,zip_code
,,,,Not Found,,,Not Found,,,,Not Found,https://investorlift.com/marketplace/deal/282625,,
,,,,Not Found,,,Not Found,,,,Not Found,https://investorlift.com/marketplace/deal/282547,,
